,title,domestic_gross,foreign_gross,year
94,Tyler Perry's Why Did I Get Married Too?,60100000.0,Tyler Perry's Why Did I Get Married Too?,2010
95,Secretariat,59700000.0,Secretariat,2010
96,The Ghost Writer,15500000.0,The Ghost Writer,2010
97,Morning Glory,31000000.0,Morning Glory,2010
98,Remember Me,19100000.0,Remember Me,2010
99,Cop Out,44900000.0,Cop Out,2010
100,The Crazies,39100000.0,The Crazies,2010
101,From Paris with Love,24100000.0,From Paris with Love,2010
102,Daybreakers,30100000.0,Daybreakers,2010
103,Alpha and Omega,25100000.0,Alpha and Omega,2010
104,The Switch,27800000.0,The Switch,2010
105,She's Out of My League,32000000.0,She's Out of My League,2010
106,Death at a Funeral (2010),42700000.0,Death at a Funeral (2010),2010
107,How Do You Know,30200000.0,How Do You Know,2010
108,Charlie St. Cloud,31200000.0,Charlie St. Cloud,2010
109,Scott Pilgrim vs. the World,31500000.0,Scott Pilgrim vs. the World,2010
110,Heartbreaker,504000.0,Heartbreaker,2010
111,The Spy Next Door,24300000.0,The Spy Next Door,2010
112,"The Good, the Bad, the Weird",128000.0,"The Good, the Bad, the Weird",2010
113,Machete,26600000.0,Machete,2010
114,The Girl Who Kicked the Hornet's Nest,5200000.0,The Girl Who Kicked the Hornet's Nest,2010
115,The Man From Nowhere,528000.0,The Man From Nowhere,2010
116,When in Rome,32700000.0,When in Rome,2010
117,My Name is Khan,4000000.0,My Name is Khan,2010
118,Going the Distance,17800000.0,Going the Distance,2010
119,The Concert,658000.0,The Concert,2010
120,Agora,619000.0,Agora,2010
121,For Colored Girls,37700000.0,For Colored Girls,2010
122,Brooklyn's Finest,27200000.0,Brooklyn's Finest,2010
123,Furry Vengeance,17600000.0,Furry Vengeance,2010
124,Faster,23200000.0,Faster,2010
125,The Kids Are All Right,20800000.0,The Kids Are All Right,2010
126,You Will Meet a Tall Dark Stranger,3200000.0,You Will Meet a Tall Dark Stranger,2010
127,The Secret in Their Eyes,6400000.0,The Secret in Their Eyes,2010
128,Avatar: Special Edition,10700000.0,Avatar: Special Edition,2010
129,Leap Year,25900000.0,Leap Year,2010
130,You Again,25700000.0,You Again,2010
131,Mesrine: Killer Instinct,552000.0,Mesrine: Killer Instinct,2010
132,The Losers,23600000.0,The Losers,2010
133,Case 39,13300000.0,Case 39,2010
134,Ramona and Beezus,26200000.0,Ramona and Beezus,2010
135,Splice,17000000.0,Splice,2010
136,Fair Game (2010),9500000.0,Fair Game (2010),2010
137,Let Me In,12100000.0,Let Me In,2010
138,Mao's Last Dancer,4800000.0,Mao's Last Dancer,2010
139,Just Wright,21500000.0,Just Wright,2010
140,Our Family Wedding,20300000.0,Our Family Wedding,2010
141,My Soul to Take,14700000.0,My Soul to Take,2010
142,71 Into the Fire,177000.0,71 Into the Fire,2010
143,"I Love You, Phillip Morris",2000000.0,"I Love You, Phillip Morris",2010
144,Country Strong,20200000.0,Country Strong,2010
145,Another Year,3200000.0,Another Year,2010
146,Youth in Revolt,15300000.0,Youth in Revolt,2010
147,Buried,1000000.0,Buried,2010
148,[Rec] 2,27800.0,[Rec] 2,2010
149,Repo Men,13800000.0,Repo Men,2010
150,A Prophet (Un prophète),2100000.0,A Prophet (Un prophète),2010
151,Soul Kitchen,277000.0,Soul Kitchen,2010
152,Mother (2010),552000.0,Mother (2010),2010
153,Micmacs,1300000.0,Micmacs,2010
154,The Nutcracker in 3D,195000.0,The Nutcracker in 3D,2010
155,Sea Rex 3D: Journey to a Prehistoric World,6100000.0,Sea Rex 3D: Journey to a Prehistoric World,2010
156,I Hate Luv Storys,848000.0,I Hate Luv Storys,2010
157,Extraordinary Measures,12100000.0,Extraordinary Measures,2010
158,Somewhere,1800000.0,Somewhere,2010
159,Winter's Bone,6500000.0,Winter's Bone,2010
160,The Last Station,6600000.0,The Last Station,2010
161,Raajneeti,1500000.0,Raajneeti,2010
162,Made in Dagenham,1100000.0,Made in Dagenham,2010
163,Blue Valentine,9700000.0,Blue Valentine,2010
164,Tamara Drewe,560000.0,Tamara Drewe,2010
165,Chloe,3100000.0,Chloe,2010
166,Looking for Eric,55800.0,Looking for Eric,2010
167,The Warrior's Way,5700000.0,The Warrior's Way,2010
168,I Am Love,5000000.0,I Am Love,2010
169,Jonah Hex,10500000.0,Jonah Hex,2010
170,Harry Brown,1800000.0,Harry Brown,2010
171,Cyrus,7500000.0,Cyrus,2010
172,Conviction,6800000.0,Conviction,2010
173,Get Low,9200000.0,Get Low,2010
174,Babies,7300000.0,Babies,2010
175,Stone,1800000.0,Stone,2010
176,Peepli Live,758000.0,Peepli Live,2010
177,Never Let Me Go,2400000.0,Never Let Me Go,2010
178,Mid-August Lunch,675000.0,Mid-August Lunch,2010
179,MacGruber,8500000.0,MacGruber,2010
180,City Island,6700000.0,City Island,2010
181,Inside Job,4300000.0,Inside Job,2010
182,The Joneses,1500000.0,The Joneses,2010
183,Centurion,124000.0,Centurion,2010
184,Animal Kingdom,1000000.0,Animal Kingdom,2010
185,Nowhere Boy,1500000.0,Nowhere Boy,2010
186,It's Kind of a Funny Story,6400000.0,It's Kind of a Funny Story,2010
187,"Waiting for ""Superman""",6400000.0,"Waiting for ""Superman""",2010
188,Greenberg,4200000.0,Greenberg,2010
189,Coco Chanel & Igor Stravinsky,1600000.0,Coco Chanel & Igor Stravinsky,2010
190,Vincere,619000.0,Vincere,2010
191,The Illusionist (2010),2200000.0,The Illusionist (2010),2010
192,Exit Through the Gift Shop,3300000.0,Exit Through the Gift Shop,2010
193,Mademoiselle Chambon,532000.0,Mademoiselle Chambon,2010
194,Solitary Man,4400000.0,Solitary Man,2010
195,Rabbit Hole,2200000.0,Rabbit Hole,2010
196,Vision,435000.0,Vision,2010
197,Mother and Child,1100000.0,Mother and Child,2010
